ORIGIN_AIRPORT,DEST_AIRPORT,Adjusted_Air_Time
CLE,DFW,116
SJU,DFW,241
AUS,MIA,236
AUS,MIA,235
DTW,ORD,32
ORD,DTW,142
AUS,DFW,62
DFW,OKC,57
OKC,DFW,74
LGA,DFW,150
LAX,ORD,381
DFW,SNA,62
SAT,MIA,244
SAT,MIA,243
DFW,LGA,267
AUS,DFW,81
JFK,MIA,188
JFK,MIA,187
DFW,SAN,50
SAN,DFW,305
DFW,GSP,193
GSP,DFW,83
MIA,SJU,158
MIA,SJU,159
SJU,MIA,155
SJU,MIA,154
IAH,MIA,227
IAH,MIA,226
MIA,IAH,114
MIA,IAH,115
ORF,DFW,136
DFW,STL,102
DFW,CLT,227
DFW,TUL,53
TUL,DFW,80
PHL,SAN,137
DEN,DFW,177
DFW,DEN,71
MIA,PHL,172
MIA,PHL,173
ORD,DFW,128
AUS,ORD,186
ORD,AUS,140
ATL,DFW,97
SAT,PHX,17
DCA,PHX,124
RDU,PHL,73
TPA,CLT,101
CLT,LGA,113
DTW,CLT,117
CLT,ATL,75
SEA,DFW,343
RSW,CLT,114
CLT,ORD,56
SAN,CLT,471
ORD,PHL,188
IAH,LAX,102
DEN,CLT,301
CLE,PHL,98
CLT,IAH,94
LAS,CLT,458
SLC,CLT,350
SEA,DFW,363
CLT,ORD,48
EWR,CLT,109
PHL,RSW,176
TPA,PHX,98
PHL,MCO,133
CLT,LAX,128
CLT,DEN,86
DEN,PHX,69
TPA,CLT,94
ORD,CLT,173
CLT,PHX,73
ORD,PHX,92
PHL,ORD,45
AUS,PHL,273
PHL,AUS,160
PHL,ATL,141
PHL,RDU,72
RDU,PHL,76
CLT,PHL,90
ONT,PHX,86
BDL,CLT,124
CLT,MCO,102
MCO,CLT,94
PHX,CLT,425
CLT,MIA,128
CLT,MIA,127
CLE,CLT,94
CLT,CLE,91
LAX,PHX,103
PHX,LAX,115
PVD,CLT,122
CLT,PVD,116
CLT,FLL,124
PHL,RDU,97
RDU,PHL,84
CLT,SAT,97
PIT,CLT,87
DFW,PIT,225
PIT,DFW,112
BWI,CLT,84
CLT,BWI,79
ATL,CLT,85
ATL,LGA,133
CLT,BDL,101
BOS,CLT,155
MHT,PHL,92
CHS,CLT,53
CLT,RSW,103
RSW,CLT,127
PVD,PHL,64
CLT,MIA,104
CLT,MIA,103
PHX,DEN,161
DFW,PHX,16
CLT,LGA,106
LGA,CLT,123
CLT,TPA,94
CLT,MEM,51
MEM,CLT,155
BNA,PHL,192
PHL,BNA,67
CLT,JAX,81
JAX,CLT,86
ORD,PHX,77
PHX,DFW,259
SFO,PHL,501
DCA,TPA,126
IAH,PHL,250
CLT,DCA,73
MCO,PHL,143
PHL,MCO,151
MSP,PHL,210
PHL,MSP,97
SFO,PHL,497
DEN,PHL,349
PHL,DEN,129
CLT,LGA,103
LGA,CLT,160
PHL,ATL,129
CLT,LGA,107
LGA,CLT,129
MIA,DTW,167
MIA,DTW,168
MSY,ORD,152
BOS,ORD,91
AUS,DFW,55
LGA,DFW,177
ORD,CLT,166
LAS,DFW,265
BOS,DFW,179
LAS,LAX,82
BOI,DFW,226
SAN,DFW,313
DFW,MSY,78
BWI,MIA,160
BWI,MIA,159
MIA,BWI,148
MIA,BWI,149
DFW,MCO,221
MCO,DFW,111
LAX,BOS,542
DCA,ORD,56
IAH,DFW,61
CLT,MSP,87
MSP,CLT,218
SAT,CLT,225
FLL,DFW,133
DFW,DTW,229
DTW,DFW,100
DFW,PHL,251
PHL,DFW,157
AUS,DFW,65
SLC,ORD,273
DFW,MIA,239
DFW,MIA,238
MIA,PHL,188
MIA,PHL,189
JFK,MIA,180
JFK,MIA,179
STL,PHX,75
MIA,DFW,120
MIA,DFW,121
PDX,DFW,328
MCO,MIA,70
MCO,MIA,69
BWI,ORD,61
BNA,DFW,137
DFW,ORD,128
SNA,ORD,375
DFW,SAT,58
SAT,DFW,62
DFW,JAC,106
ELP,ORD,270
ORD,ELP,120
IAH,DFW,71
BOS,DFW,207
SMF,DFW,317
SEA,ORD,415
RDU,DFW,122
CVG,DFW,82
DFW,CVG,183
DEN,DFW,191
DFW,SNA,58
SFO,ORD,424
BZN,DFW,235
DFW,BZN,133
DFW,OKC,61
OKC,DFW,65
IAD,DFW,147
ATL,DFW,78
MKE,DFW,148
RNO,ORD,380
BOS,MIA,198
BOS,MIA,197
MIA,TPA,68
MIA,TPA,69
SNA,DFW,298
